"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2017-18","Spring","CS","5046","Computation for Life Sciences","Zhang","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","19267","  3"
"2018-19","Fall","CS","3634","Comp Sci Foundations for CMDA","Warburton","3.34","40","20","0","20","0","0","20","0","0","0","0","0","0","5","82713","  3"
"2018-19","Fall","CS","5214","Mod & Eval Comp Sys","Chen","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","90687","  3"
"2018-19","Spring","CS","4414","Issues in Scientific Computing","Onufriev","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","12827","  3"
"2018-19","Spring","CS","6304","Adv Tops Lang & Trans","Jung","3.82","40","60","0","0","0","0","0","0","0","0","0","0","0","5","20181","  3"
"2019-20","Fall","CS","4784","Human-Computer Interact Capstn","McCrickard","3.8","80","0","0","20","0","0","0","0","0","0","0","0","0","5","82850","  3"
"2019-20","Fall","CS","5485","Numer Analy and Softw","Beattie","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","90498","  3"
"2019-20","Fall","CS","4414","Issues in Scientific Computing","Lin","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","90499","  3"
"2019-20","Fall","CS","4704","Software Engineering Capstone","Seyam","2.94","20","40","20","0","0","0","0","0","0","0","0","20","0","5","91193","  3"
"2019-20","Spring","CS","4974","Independent Study","Huang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","13044","  3"
"2019-20","Spring","CS","5504","Computer Architecture","Feng","3","40","0","0","40","0","0","0","0","0","20","0","0","0","5","13142","  3"
"2019-20","Spring","CS","5560","Fundamentals of Info Security","Lou","3.66","60","0","20","20","0","0","0","0","0","0","0","0","0","5","13147","  3"
"2020-21","Fall","CS","4654","Intermed Data Analytics & ML","Lucero","3.66","40","20","40","0","0","0","0","0","0","0","0","0","0","5","83046","  3"
"2020-21","Fall","CS","4974","Independent Study","Shaffer","3.66","40","20","40","0","0","0","0","0","0","0","0","0","0","5","83056","  3"
"2020-21","Fall","CS","5510","Multiprocessor Programming","Ravindran","2.86","20","20","40","0","0","0","0","0","0","0","0","20","0","5","83118","  3"
"2020-21","Spring","CS","4974","Independent Study","Ellis","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","13188","  3"
"2020-21","Spring","CS","5560","Fundamentals of Info Security","Lou","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","13298","  3"
"2020-21","Spring","CS","5984","SS: Open Source Intel Lab","Luther","3.42","20","40","0","20","20","0","0","0","0","0","0","0","0","5","21789","  3"
"2020-21","Spring","CS","3984","SS: Emerging Tech Project Exp","Wicks","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21978","  3"
"2021-22","Fall","CS","4654","Intermed Data Analytics & ML","Lucero","3.66","40","20","40","0","0","0","0","0","0","0","0","0","0","5","83134","  3"
"2021-22","Fall","CS","5504","Computer Architecture","Paul","3.34","40","0","0","40","20","0","0","0","0","0","0","0","0","5","83212","  3"
